Threshold,mV	Mean,Hz	Mean_Error	Sigma	Sigma_Error	N_measurements
0.000	17881.949	12017.535	26872.025	8497.680	5
10.000	7395630.438	2743544.367	6134751.703	1939978.826	5
20.000	11971022.711	138301.430	309251.400	97793.879	5
30.000	4064865.606	26764.202	59846.574	18925.149	5
40.000	817002.539	10335.244	23110.308	7308.121	5
50.000	184872.203	1707.692	3818.515	1207.521	5
60.000	46345.921	588.730	1316.440	416.295	5
70.000	10113.598	112.174	250.829	79.319	5
80.000	2154.758	25.078	56.075	17.733	5
90.000	463.575	40.340	90.202	28.524	5
100.000	83.388	4.327	9.676	3.060	5
110.000	19.008	5.270	11.784	3.726	5
120.000	7.015	5.902	13.196	4.173	5
