Threshold	M1	M2	M3	M4	M5
0.000	16008.178943	70344.881245	1610.086858	0.000000	1446.599638
10.000	10545430.101700	12474018.248700	0.000000	0.000000	13958703.839000
20.000	11471665.166700	11877599.511200	11922910.854400	12212697.576700	12370240.443600
30.000	4073823.892210	4090887.304070	4073876.404490	4132597.282880	3953143.145730
40.000	832017.344156	795310.068488	832502.890637	841705.136667	783477.253204
50.000	182500.052169	184443.465587	186858.914580	190883.571434	179675.011018
60.000	48354.437667	46713.667884	46771.853359	45385.348539	44504.298488
70.000	10535.111459	9970.940184	10264.918145	9922.270717	9874.750914
80.000	2219.977731	2142.900651	2109.293213	2218.742596	2082.876852
90.000	635.617783	469.482317	388.080543	419.443198	405.252092
100.000	77.069788	68.692305	95.944958	84.548641	90.685095
110.000	6.669037	15.078882	11.645486	20.991505	40.652608
120.000	0.000000	0.000000	0.000000	33.374295	1.699392
